,address,metro,mt_dist,parking,rooms,floor_bld,floor,square,price_p_m,price,lat,lng
11217,"Москва, улица Маршала Тимошенко, 17к2, Кунцево, Москва",Крылатское,1400.0,True,3.0,9.0,6.0,120.0,1083.0,130000.0,55.74737349999999,37.3961982
11218,"Москва, улица Плющиха, 22, Хамовники, Москва",Смоленская,681.0,False,4.0,4.0,2.0,200.0,1750.0,350000.0,55.74304,37.577729
11219,"Москва, улица Малая Дмитровка, 24/2, Тверской, Москва",Маяковская,646.0,True,2.0,11.0,8.0,54.0,2963.0,160000.0,55.77209939999999,37.6055919
11220,"Москва, улица Земляной Вал, 21/2-4с3, Басманный, Москва",Курская,292.0,False,4.0,4.0,4.0,97.0,1134.0,110000.0,55.760645,37.65818710000001
11221,"Москва, Чапаевский переулок, 3, Хорошёвский, Москва",Аэропорт,818.0,True,3.0,30.0,15.0,145.0,3448.0,500000.0,55.79825719999999,37.5203207
11222,"Москва, улица Винокурова, 24к1, Котловка, Москва",Крымская,831.0,False,1.0,5.0,3.0,32.0,1094.0,35000.0,55.684697,37.5968071
11223,"Москва, Погорельский переулок, 6, Якиманка, Москва",Добрынинская,422.0,True,3.0,9.0,2.0,120.0,1667.0,200000.0,55.7328183,37.6230918
11224,"Москва, Спиридоньевский переулок, 6, Пресненский, Москва",Пушкинская,728.0,True,3.0,12.0,2.0,130.0,2308.0,300000.0,55.7620872,37.5942553
11225,"Москва, Пожарский переулок, 7, Хамовники, Москва",Кропоткинская,470.0,True,5.0,5.0,4.0,230.0,2284.0,525353.0,55.7411352,37.6021276
11226,"Москва, Пресненская набережная, 8с1, Пресненский, Москва",Деловой центр,223.0,False,2.0,73.0,27.0,225.0,2667.0,600000.0,55.7480754,37.5402587
11227,"Москва, 1-й Красногвардейский проезд, 22с1, Пресненский, Москва",Международная,282.0,False,1.0,62.0,60.0,50.0,4000.0,200000.0,55.7514248,37.5356575
11228,"Москва, Пресненская набережная, 8с1, Пресненский, Москва",Деловой центр,223.0,False,3.0,75.0,26.0,203.0,2463.0,500000.0,55.7480754,37.5402587
11229,"Москва, Пресненская набережная, 8с1, Пресненский, Москва",Деловой центр,223.0,False,2.0,75.0,31.0,200.0,2500.0,500000.0,55.7480754,37.5402587
11230,"Москва, Чертановская улица, 41к1, Чертаново Центральное, Москва",Пражская,837.0,True,2.0,14.0,8.0,54.0,667.0,36000.0,55.6075615,37.59382
11231,"Москва, Зелёный проспект, 60/35, Новогиреево, Москва",Новогиреево,168.0,False,2.0,9.0,4.0,46.0,826.0,38000.0,55.750204,37.817968
11232,"Москва, переулок Сивцев Вражек, 44/28, Арбат, Москва",Смоленская,405.0,False,4.0,6.0,3.0,140.0,2143.0,300000.0,55.74656650000001,37.5863633
11233,"Москва, улица Обручева, 35к1, подъезд 1, Черёмушки, Москва",Калужская,1100.0,False,1.0,12.0,12.0,39.0,1154.0,45000.0,55.65173919999999,37.5543274
11234,"Москва, улица Большая Ордынка, 67, Замоскворечье, Москва",Добрынинская,259.0,True,5.0,6.0,4.0,185.0,2703.0,500000.0,55.7311456,37.6244747
11235,"Москва, Мясницкая улица, 24/7с1, Басманный, Москва",Тургеневская,320.0,True,5.0,5.0,2.0,360.0,1667.0,600000.0,55.76290299999999,37.6353246
11236,"Москва, Леонтьевский переулок, 6с2, Пресненский, Москва",Арбатская,669.0,False,3.0,5.0,3.0,92.0,1717.0,158000.0,55.7589735,37.6027596
11237,"Москва, улица Спиридоновка, 34с1, Пресненский, Москва",Баррикадная,584.0,False,4.0,6.0,4.0,145.0,3448.0,500000.0,55.7627051,37.5897614
11238,"Москва, Большая Марьинская улица, 2, Останкинский, Москва",Алексеевская,649.0,True,2.0,8.0,5.0,60.0,1167.0,70000.0,55.802689,37.63390500000001
11239,"Москва, улица Космонавта Волкова, 9/2, Войковский, Москва",Войковская,914.0,False,2.0,8.0,7.0,53.0,1000.0,53000.0,55.8160269,37.5112708
11240,"Москва, 1-я Вольская улица, 24к1, Некрасовка, Москва",Жулебино,4600.0,True,1.0,14.0,8.0,36.0,694.0,25000.0,55.68246800000001,37.928318
11241,"Москва, улица Хлобыстова, 12к2, Выхино-Жулебино, Москва",Рязанский проспект,704.0,True,3.0,17.0,6.0,80.0,625.0,50000.0,55.719062,37.804338
11242,"Москва, Осенний бульвар, 17, Крылатское, Москва",Крылатское,574.0,True,2.0,26.0,24.0,100.0,1000.0,100000.0,55.76175300000001,37.405422
11243,"Москва, Никитский бульвар, 17, Пресненский, Москва",Арбатская,541.0,True,4.0,8.0,6.0,100.0,1500.0,150000.0,55.7566699,37.5983874
11244,"Москва, Мосфильмовская улица, 88к2с4, Раменки, Москва",Раменки,804.0,False,1.0,20.0,12.0,50.0,2000.0,100000.0,55.723561,37.527187
11245,"Москва, Федоскинская улица, 3, Ярославский, Москва",Бабушкинская,2400.0,False,2.0,9.0,2.0,43.0,791.0,34000.0,55.86786799999999,37.7025389
11246,"Москва, Оболенский переулок, 9к8, Хамовники, Москва",Фрунзенская,405.0,True,4.0,14.0,8.0,177.0,2090.0,370000.0,55.7317592,37.5813923
11247,"Москва, 1-й Неопалимовский переулок, 8, Хамовники, Москва",Смоленская,866.0,True,3.0,13.0,2.0,132.0,2652.0,350000.0,55.7408133,37.5810619
11248,"Москва, Донецкая улица, 15, Марьино, Москва",Марьино,1700.0,False,2.0,12.0,7.0,51.5,874.0,45000.0,55.64933199999999,37.7179651
11249,"Москва, Малый Каковинский переулок, 3, Арбат, Москва",Смоленская,249.0,False,4.0,6.0,5.0,110.0,1182.0,130000.0,55.75048049999999,37.5847616
11250,"Москва, улица Свободы, 49к1, Южное Тушино, Москва",Сходненская,804.0,False,2.0,5.0,2.0,43.0,930.0,40000.0,55.8483393,37.45246160000001
11251,"Москва, Радужная улица, 8, Бабушкинский, Москва",Бабушкинская,1100.0,False,1.0,5.0,2.0,32.0,938.0,30000.0,55.86081129999999,37.6700621
11252,"Москва, 1-я Вольская улица, 16, Некрасовка, Москва",Котельники,4100.0,False,1.0,17.0,7.0,42.0,536.0,22500.0,55.6822931,37.9212481
11253,"Москва, переулок Огородная Слобода, 10, Басманный, Москва",Чистые пруды,287.0,True,2.0,8.0,7.0,40.0,2125.0,85000.0,55.765705,37.642949
11254,"Москва, Кировоградская улица, 9к3, Чертаново Северное, Москва",Южная,304.0,False,1.0,18.0,7.0,36.0,972.0,35000.0,55.625459,37.61176400000001
11255,"Москва, улица Маршала Катукова, 15к1, Строгино, Москва",Строгино,699.0,False,3.0,16.0,12.0,74.0,878.0,65000.0,55.8095655,37.4065877
11256,"Москва, улица Адмирала Лазарева, 62, Южное Бутово, Москва",Бунинская аллея,441.0,False,1.0,10.0,3.0,37.0,892.0,33000.0,55.540139,37.5097265
11257,"Москва, Большая Марьинская улица, 23, Останкинский, Москва",Алексеевская,336.0,False,1.0,5.0,2.0,33.0,1455.0,48000.0,55.80965,37.634402
11258,"Москва, Никулинская улица, 18к2, Очаково-Матвеевское, Москва",Юго-Западная,2500.0,False,2.0,5.0,5.0,46.0,1087.0,50000.0,55.6654735,37.4642744
11259,"Москва, улица Покрышкина, 8к3, Тропарёво-Никулино, Москва",Юго-Западная,730.0,True,2.0,17.0,13.0,62.0,1290.0,80000.0,55.66537770000001,37.4713895
11260,"Москва, улица Менжинского, 29, Бабушкинский, Москва",Бабушкинская,538.0,False,1.0,22.0,6.0,39.0,1026.0,40000.0,55.870115,37.65619
11261,"Москва, Новоорловская улица, 8к2, Ново-Переделкино, Москва",Саларьево,4300.0,False,1.0,14.0,3.0,40.0,1125.0,45000.0,55.638206,37.362233
11262,"Москва, улица Маршала Катукова, 22к1, Строгино, Москва",Строгино,378.0,False,2.0,12.0,4.0,52.0,1058.0,55000.0,55.8044349,37.4081159
11263,"Москва, улица Шаболовка, 23к1, Якиманка, Москва",Шаболовская,562.0,True,4.0,20.0,2.0,159.0,1258.0,200000.0,55.722361,37.6137999
